first.name,last.name,ID,h.index,i10.index,citations,years.active,tweets,following,followers,username,twitter
Ana,Agundez Garcia,pag54,1,0,6,6,,,,,0
Adriana,Agapie,pag55,1,0,4,11,,,,,0
Manuel,Agosin,pag56,8,7,425,44,,,,,0
Mark,Aguiar,pag57,16,18,2214,13,,,,,0
Pablo,Agnese,pag59,3,0,19,8,,,,,0
Luca,Agnello,pag61,12,14,462,16,,,,,0
Jorge,Agüero,pag62,6,5,182,13,,,,,0
Claudio,Agostinelli,pag68,2,0,7,12,,,,,0
Emma,Aguila,pag69,5,3,77,9,,,,,0
Murali,Agastya,pag7,4,2,64,23,,,,,0
Arun,Agrawal,pag70,6,6,507,17,,,,,0
Marcos,Agurto Adrianzen,pag74,1,0,3,7,,,,,0
Itziar,Aguado,pag78,1,0,6,6,,,,,0
Salah,Agha,pag79,1,0,3,1,,,,,0
Anna,Agliari,pag80,4,2,52,20,,,,,0
Javier,Aguilera-Caracuel,pag84,1,1,11,1,,,,,0
Maria,Aguirre,pag85,2,0,8,5,,,,,0
Alvaro,Aguirre,pag86,4,2,121,13,,,,,0
Isabelle,Agier,pag88,4,2,111,6,,,,,0
Angel,Aguiar Román,pag89,5,2,58,13,,,,,0
Aman,Agarwal,pag9,1,1,17,1,,,,,0
Ismael,Aguilar Benitez,pag90,1,0,5,6,,,,,0
Natasha,Agarwal,pag92,2,0,12,3,,,,,0
Jonas,Agell,pag93,21,25,1275,19,,,,,0
Rajesh,Aggarwal,pag94,10,10,679,14,,,,,0
Tamunopriye,Agiobenebo,pag96,1,0,5,2,,,,,0
Panayiotis,Agisilaou,pag98,1,0,2,1,,,,,0
Ernesto,Aguayo-Téllez,pag99,3,1,55,13,,,,,0
Vinod,Ahuja,pah1,4,2,58,8,,,,,0
Rudiger,Ahrend,pah10,10,14,288,16,,,,,0
Tom,Ahn,pah101,3,1,34,13,,,,,0
Reshad,Ahsan,pah102,4,2,75,5,,,,,0
Kenneth,Ahern,pah103,7,6,336,9,,,,,0
JaeBin,Ahn,pah105,5,4,334,7,,,,,0
Pelle,Ahlerup,pah107,4,2,132,4,,,,,0
Nawaz,Ahmad,pah108,1,0,1,1,,,,,0
Salma,Ahmed,pah109,3,0,15,6,,,,,0
Francis,Ahking,pah11,5,4,88,36,,,,,0
Sina,Ahmadzadeh Mashinchi,pah113,1,0,1,8,,,,,0
Jameel,Ahmed,pah115,1,1,24,4,,,,,0
Ayaz,Ahmed,pah116,4,1,28,24,,,,,0
Azkar,Ahmad,pah117,1,0,8,1,,,,,0
Henna,Ahsan,pah118,1,1,12,7,,,,,0
Ahmed,Bensalma,pah123,14,22,838,5,,,,,0
Hildegart,Ahumada,pah124,6,4,156,31,,,,,0
Meta,Ahtik,pah125,1,0,5,1,,,,,0
Junaid,Ahmed,pah126,2,0,12,4,,,,,0
Adam,Ahmed,pah129,1,0,4,27,,,,,0
Daniel Felix,Ahelegbey,pah131,2,2,27,5,,,,,0
Seung,Ahn,pah132,10,11,780,21,,,,,0
Doaa,Ahmed,pah135,1,0,1,7,,,,,0
Khalid,Ahmed,pah136,5,1,56,6,,,,,0
Ahmad Hassan,Ahmad,pah137,2,1,22,8,,,,,0
Kaikaus,Ahmad,pah138,2,1,14,2,,,,,0
Seoungpil,Ahn,pah139,4,4,122,9,,,,,0
Habib,Ahmed,pah14,6,6,140,19,,,,,0
Najid,Ahmad,pah140,2,0,6,1,,,,,0
Afm,Ahsan,pah146,1,0,1,1,,,,,0
Lassi,Ahlvik,pah147,2,0,8,2,,,,,0
Lina,Ahlin,pah149,1,0,5,1,,,,,0
Alan,Ahearne,pah15,9,9,554,12,,,,,0
Abd Halim,Ahmad,pah154,2,1,41,9,,,,,0
Mohsin,Ahmad,pah155,3,1,41,12,,,,,0
Mehmet,Sahin,pah159,7,7,143,1,,,,,0
Montek,Ahluwalia,pah16,5,5,376,32,,,,,0
Ovais,Ahmed,pah161,1,0,1,2,,,,,0
Toni,Ahnert,pah162,4,0,28,4,,,,,0
Moin Uddin,Ahmed,pah164,1,0,1,1,,,,,0
Dominic,Ahiaga-Dagbui,pah165,1,0,2,3,,,,,0
Alexander,Ahammer,pah166,2,0,6,3,23,125,47,@ahammeralex,1
Shabbir,Ahmad,pah169,1,0,4,9,,,,,0
Avner,Ahituv,pah17,6,6,252,15,,,,,0
Achim,Ahrens,pah173,2,0,8,3,,,,,0
Dewan,Ahsan,pah176,1,0,1,4,,,,,0
Riham,Ahmed Ezzat,pah177,1,0,1,1,,,,,0
Muhammad,Ahad,pah179,1,0,3,3,,,,,0
Yamin,Ahmad,pah18,2,2,35,15,,,,,0
