first.name,last.name,ID,twitter,h.index,i10.index,citations,tweets,following,followers
Carlos,Medina,pme245, @carlosmedinad ,7,2,157,"7,766","1,532","1,163"
Kelbesa,Megersa,pme555, @kelbesamegersa ,2,0,6,578,902,187
Rahul,Mehrotra,pme692, @rrahulmehrotra ,1,0,3,361,"1,069",231
Christopher,Meissner,pme45, @cmicmeissner ,16,18,810,429,277,550
Isabelle,Mejean,pmj1, @isabellemejean ,11,12,374,90,127,185
Luis-Fernando,MejÃ?a,pme106, @luisfermejia ,4,3,535,"2,410",566,"6,001"
Daniel,Mejia,pme228, @danielmejial ,7,6,152,"9,155",719,"20,500"
Antonio,Mele,pme328, @antoniomele101 ,1,1,15,"15,200","3,072","1,021"
Angel,Melguizo,pme327, @angelmelguizo ,7,3,131,"8,578",415,"3,083"
Marcela,MelÃ©ndez,pme414, @melendezmarcela ,6,1,108,"4,970",666,"4,049"
Taye,Mengistae,pme90, @tayemengistae ,10,10,411,569,220,67
Robert,Metcalfe,pme196, @rdmetcalfe ,9,9,316,"1,638",535,920
Dominique,Meurs,pme234, @divisquin ,8,7,266,"3,209",241,407
Sven,MÃ?ller,pml29, @geooptimization ,2,1,24,"1,686",906,729
Bryane,Michael,pmi53, @bryanebryane ,1,0,5,529,337,129
Eric,Micheels,pmi679, @ericmicheels ,1,0,8,"1,637",817,661
Jo,Michell,pmi660, @jomicheii ,2,2,34,"29,700",918,"4,166"
Edward,Miguel,pmi499, @tedmiguel ,26,40,3779,"10,700",238,"5,492"
Gabriel,Mihalache,pmi497, @gp_mihalache ,2,0,10,1,8,0
H. Reiju,Mihara,pmi193, @reiju21jp ,4,0,39,"9,926",25,983
Mia,Mikic,pmi105, @miamikic ,3,1,24,"4,817",323,472
Branko,Milanovic,pmi44, @brankomilan ,18,35,1283,"35,200",931,"45,700"
Joshua,Miller,pmi476, @jben0 ,5,0,38,986,252,416
Helen,Miller,pmi761, @helenmiller_ifs ,6,5,134,"1,072",407,"1,134"
Kevin,Milligan,pmi14, @kevinmilligan ,18,29,1650,"4,194",167,"9,066"
Jorge,Miranda Pinto,pmi490, @cokemp ,1,0,2,"1,600",537,270
Antoine,Missemer,pmi711, @ant_mis1 ,2,0,8,479,599,779
Matthew,Mitchell,pmi30, @m_ttm_ ,10,10,310,"2,142",304,355
Olivia,Mitchell,pmi73, @os_mitchell ,28,66,3632,"5,593",449,"2,746"
Kurt,Mitman,pmi418, @sorrytobekurt ,9,8,245,"3,579",308,"1,030"
Jarle,MÃ¸en,pmo44, @jarlenhh ,10,10,552,456,918,999
JÃ¸rgen,Modalsli,pmo642, @modalsli ,3,0,19,179,390,160
Kamiar,Mohaddes,pmo519, @kamiarmohaddes ,11,12,352,293,420,274
Vahid,Mohamad Taghvaee,pmo908, @vahidestan ,1,0,4,36,31,25
Ghulam,Mohey-ud-din,pab58, @moheyuddin ,1,0,4,962,249,58
Benoit,Mojon,pmo43, @benoitmojon ,22,25,1826,106,212,331
