first.name,last.name,ID,h.index,i10.index,citations,years.active,tweets,following,followers,username
Peter,Bergeijk,pbe494,7,6,196,32,355,5,65, @economendagboek 
Christophe,Cahn,pca442,7,4,138,11,33,55,45, @economhipster 
Brandon,Sheridan,psh651,3,1,27,4,"1,029",243,301, @economics_bs 
John,Taylor,pta174,35,66,10548,46,"2,018",193,"12,900", @EconomicsOne 
Aurelio,Fernandez Bariviera,pfe210,4,0,46,11,"1,747",704,229, @econophysicslab 
Edmund,Phelps,pph34,20,32,2802,57,243,116,"1,846", @EdmundPhelps 
Laurent,Vidu,pvi4,1,0,2,4,"2,406",566,318, @edouardvidon 
Eduardo,Ortiz-Juarez,por80,4,4,182,8,"1,464",605,475, @eduardoortizj 
Steven,Glazerman,pgl62,7,7,236,27,"4,223",911,"2,310", @eduglaze 
Abiodun,Egbetokun,peg26,2,0,18,9,386,503,165, @egbetokun 
Erin,Fletcher,pfl142,1,0,6,7,"13,000",992,"1,040", @ekfletch 
Edward,Kosack,pko794,1,0,4,1,848,232,113, @ekosack 
Leandro,Elia,pel90,3,0,30,8,32,43,80, @elialeandro 
Elke,Holst,pho166,7,6,261,27,999,277,980, @elkeholst 
Eleonora,Fichera,pfi204,3,0,19,7,"2,634",421,456, @elliefichera 
Eduardo,Levy Yeyati,ple99,23,42,2438,22,"16,700",344,"32,400", @elyblog 
Emilio,Blanco,pbl158,2,0,10,10,"3,695",543,292, @emiliofblanco 
Emmanuel,Thibault,pth23,4,3,99,18,136,78,226, @emmathibault 
Enrique,Calfucura,pca119,4,2,54,16,6805,456,637, @enriquecalfucur 
Enrique,Covarrubias,pco309,1,0,3,10,1677,152,536, @enriquecovar 
Enrique,Gilles,pgi130,1,0,1,7,"1,015",381,270, @enriquegilles 
Elisenda,Paluzie,ppa29,7,6,202,18,"15,600","2,031","40,700", @epaluzie 
Esteban,Puentes,ppu67,4,1,60,13,937,501,595, @epuentese 
Mustafa,Y√ºcel,pyu25,6,4,117,16,"5,669",335,481, @erayyucel 
Erdal,Tekin,pte12,16,22,722,17,"1,919",72,691, @erdal_tekin_ 
Eric,Micheels,pmi679,1,0,8,13,"1,637",817,661, @ericmicheels 
Erik,Brynjolfsson,pbr87,17,23,3066,30,"12,700","1,171","166,000", @erikbryn 
Erik,SÃ¸rensen,psr18,13,14,687,16,678,492,275, @erikosorensen 
Sam,Jones,pjo324,9,9,411,10,"3,196",802,884, @esamjones 
Espen,Prydz,ppr317,3,2,53,2,"1,017",484,919, @espry 
Sascha,Becker,pbe98,25,33,2745,17,"3,602",480,"1,853", @essobecker 
Etienne,Lehmann,ple98,10,10,434,21,194,211,170, @etiennelehmanne 
Emilia,Tjernstrom,ptj7,1,1,22,10,"2,620",437,598, @etjernst 
Eugen,Dimant,pdi363,4,3,49,4,359,394,135, @eugen_dimant 
Eugenio,Proto,ppr82,8,5,225,18,"1,993",376,677, @eugenioproto 
Olaniyi,Evans,pev65,1,0,4,4,296,18,114, @evansclopedia 
Evgenia,Passari,ppa1083,1,1,34,1,27,99,100, @evgenia_passari 
Kevin,Grier,pgr46,14,21,1317,32,"4,614",493,"1,348", @ez_angus 
Francesco,Bartolucci,pba960,8,7,267,20,47,70,77, @f_bartolucci 
Felipe,Rezende,pre417,1,0,2,6,"1,071",218,"1,513", @f_derezende 
Fabien,Rondeau,pro269,1,0,4,11,106,83,67, @fabien_rondeau 
Fabio,Ghironi,pgh2,18,24,1511,23,"13,700",906,"2,591", @fabioghironi 
Fabio,Boncinelli,pbo967,1,0,2,3,261,753,178, @fabioso77 
Fabrice,Borel-Mathurin,pbo904,1,0,5,2,"150,000",391,"2,198", @fabrice_bm 
Levi,Russell,pru288,1,0,3,4,598,656,948, @farmerhayek 
Roger,Farmer,pfa3,24,44,2688,34,"5,300",344,"8,446", @farmerrf 
Fatih,Guvenen,pgu24,16,21,1300,18,"3,374",263,"1,796", @fatihguvenen 
Elizabeth,Villagomez,pvi39,1,1,113,10,"10,400","1,894","10,100", @favillagomez 
Francesco,Bogliacino,pbo401,8,7,253,10,"1,701",793,494, @fbogliacino 
Federico,Bonaglia,pbo68,7,6,258,12,"7,530","1,219","2,236", @fbonaglia 
